pid,location,totval
74,"23 MULLIGAN DRWALLINGFORD, CT 06492",620
75,"23 MULLIGAN DR WALLINFORD, CT 06492",340
76,"23 MULLIGAN DR WALLINGFORD, CT 06492",410
77,"C/O HERMAN DOSTIE23 MULLIGAN DRWALLINGFORD, CT 06492",263500
78,"23 MULLIGAN DR WALLINGFORD, CT 06492",286500
79,"23 MULLIGAN DRWALLINGFORD, CT 06492",298400
80,"23 MULLIGAN DR WALLINGFORD, CT 06492",312700
81,"23 MULLIGAN DRWALLINGFORD, CT 06492",344100
82,"23 MULLIGAN DRWALLINGFORD, CT 06492",287200
83,392 BURR ST,129200
84,384 BURR ST,124600
85,374 BURR ST,125000
86,366 BURR ST,128100
87,"22 CONIFER DRHAMDEN, CT 06518",131600
88,354  BURR ST,141700
89,348 BURR ST,155700
90,165 CHURCH ST,4500
91,165 CHURCH ST,66100
92,340 BURR ST,145700
93,336 BURR ST,181500
94,330 BURR ST,152700
95,320 BURR ST,159200
96,310 BURR ST,170700
97,175 TOWNSEND TER,287900
98,155 TOWNSEND TERR,320300
99,147 TOWNSEND TERRACE,243200
100,135 TOWNSEND TER,197300
101,215 HYDE ST,207500
102,223 HYDE STREET,161300
103,235 HYDE ST,224000
104,118 TOWNSEND TER,243100
105,126 TOWNSEND TER,173000
106,132 TOWNSEND TERR,178000
107,140 TOWNSEND TER,183900
108,144 TOWNSEND TER,170900
109,150 TOWNSEND TERR,163400
110,158 TOWNSEND TERR,206000
111,"189 ROSE ST EXTENSIONEAST HAVEN, CT 06513",201900
112,168 TOWNSEND TER,196500
113,172 TOWNSEND TER,219400
114,176 TOWNSEND TER,184700
115,400 BURR ST,2100
116,393 BURR ST,152300
117,155 BURR ST,58600
118,25 HOLMES ST,102700
119,437 BURR ST,131500
120,"378 MANSFIELD GROVE RDEAST HAVEN, CT 06513",165100
121,419 BURR ST,208400
122,409 BURR ST,143300
123,401 BURR ST,223200
124,18 HOLMES ST,204100
125,395 BURR ST,1000
126,165 CHURCH ST,52500
127,404 BURR ST,208900
128,412 BURR ST,195800
129,416 BURR ST,164400
130,420 BURR ST,184100
131,434 BURR ST,56600
132,440 BURR ST,188200
133,408 BURR ST,304000
134,428 BURR ST,13200
135,42 LAURA LA,5700
136,675 TOWNSEND AV    116,152900
137,675 TOWNSEND AV,191000
138,675 TOWNSEND AV  UNIT 118,191000
139,"675 TOWNSEND AV, UNIT 119",152600
140,675 TOWNSEND AV   120,150700
141,675 TOWNSEND AV #121,191000
142,675 TOWNSEND AVE B-3 U-132,186900
143,675 TOWNSEND AV U-133 BLDG 3,150700
144,675 TOWNSEND AV     134,157200
145,675 TOWNSEND AV UNIT135,201300
146,675 TOWNSEND AV 136,201300
147,675 TOWNSEND AVE UNIT 137,164500
148,675 TOWNSEND AVE UNIT 138,201300
149,102 TOWNSEND TER,164800
150,675 TOWNSEND AV  140,164800
151,675 TOWNSEND AV  UNIT 141,201300
152,675 TOWNSEND AV,170000
153,675 TOWNSEND AV    UNIT 143,204900
154,675 TOWNSEND AV   UNIT 154,190800
155,675 TOWNSEND AV,164800
156,675 TOWNSEND AV,166800
157,675 TOWNSEND AV APT 157,201300
158,675 TOWNSEND AV UNIT 158,183600
159,"PO BOX 26124WEST HAVEN , CT 06516-0961",201300
160,675 TOWNSEND AV UNUIT 160,184300
161,675 TOWNSEND AV 161,164800
162,675 TOWNSEND AV  #162,166800
163,675 TOWNSEND AVE UNIT 163,187900
164,675 TOWNSEND AV,201300
165,"521 CATALINA ISLES CIRVENICE, FL 34292",164800
166,675 TOWNSEND AV UNIT 166,166700
167,675 TOWNSEND AV #167,164500
168,675 TOWNSEND AV  #168,123600
169,675 TOWNSEND AVUNIT 169 BLDG 11,153600
170,675 TOWNSEND AV,150700
171,675 TOWNSEND AV  UNIT 171,150600
172,"34 CLINTON STGLASTONBURY, CT 06033",169800
173,675 TOWNSEND AVBLDG 12 UNIT 179,153600
174,675 TOWNSEND AV,150000
175,675 TOWNSEND AVE #181,140000
176,675 TOWNSEND AV UNIT 190,163800
177,675  TOWNSEND AV #191,150700
178,675 TOWNSEND AVE,150700
179,675 TOWNSEND AVUNIT 193,172100
180,675 TOWNSEND AV UNIT 186,152900
181,675 TOWNSEND AV   UNIT 187,151900
182,"32 BOULDER BROOK COURTPROSPECT, CT 06712",150700
183,675 TOWNSEND AV UNIT 189,152900
184,675 TOWNSEND AV     182,152300
185,675 TOWNSEND AV # 183,150000
186,675 TOWNSEND AV,154200
187,675 TOWNSEND AV #185,172100
188,675 TOWNSEND AV,111600
189,675 TOWNSEND AV,153500
190,"419 CONCEPTS 21 DRLITHONIA, GA 30058",143000
191,675 TOWNSEND AV,153200
192,675 TOWNSEND AV UNIT 174,152600
193,675 TOWNSEND AV UNIT 175,109600
194,675 TOWNSEND AV 152,119300
195,675 TOWNSEND AVE,150600
196,675 TOWNSEND AV,157400
197,675 TOWNSEND AV,150700
198,675 TOWNSEND AV UNIT 150,150700
199,675 TOWNSEND AV 151,125200
200,675 TOWNSEND AV,157400
201,675 TOWNSENDUNIT #145,150700
202,675 TOWNSEND AV,150700
203,675 TOWNSEND AV #147,159500
204,675 TOWNSEND AV,184300
205,675 TOWNSEND AV    129,150700
206,675 TOWNSEND AV 130,150700
207,675 TOWNSEND AV,184300
208,675 TOWNSEND AV U126 B22,155800
209,675 TOWNSEND AVBLDG 22  UNIT 127,199300
210,675 TOWNSEND AV   122,191000
211,675 TOWNSEND AV,150700
212,675 TOWNSEND AV,170400
213,675 TOWNSEND AV 125,191100
214,675 TOWNSEND AV   112,175400
215,675 TOWNSEND AV,150700
216,675 TOWNSEND AV,150700
217,675 TOWNSEND AV UNIT 115,191000
218,675 TOWNSEND AV 108,172100
219,675 TOWNSEND AV #109,155900
220,675  TOWNSEND AV  UNIT 110,156600
221,675 TOWNSEND AV   UNIT 111,192900
222,675 TOWNSEND AV    UNIT 104,210900
223,675 TOWNSEND AV,167800
224,675 TOWNSEND AV UNIT 106,155600
225,675 TOWNSEND AVE  #107,166800
226,"200 RIVERSIDE BLVD # 42ANEW YORK, NY 10069",203900
227,675 TOWNSEND AV UNIT102,166800
228,675 TOWNSEND AV UNIT 103,203900
229,108 LAURA LA,8200
230,102 LAURA LA,146900
231,"34 WHALERS PY RDEAST HAVEN, CT 06512",131800
232,"987 HILLSBORO MILEHILLSBORO, FL 33062",3200
233,"987 HILLSBORO MILEHILLSBORO BEACH, FL 33062",5200
234,86 LAURA LA,150700
235,80 LAURA LA,140700
236,76 LAURA LA,140200
237,72 LAURA LA,155800
238,68 LAURA LA,162200
239,62 LAURA LA,166100
240,56 LAURA LA,154800
241,50 LAURA LA,151600
242,46 LAURA LA,242300
243,42 LAURA LA,179500
244,38 LAURA LA,163800
245,32 LAURA LA,153000
246,24 LAURA LA,179100
247,"5846 CONTE DRLOTHIAN, MD 20711",152200
248,10 LAURA LA,143300
249,4 LAURA LA,135200
250,"115 LAURA LAEAST HAVEN, CT 06512-0000",10200
251,107 LAURA LA,142600
252,62 ASYLUM ST,154200
253,115 TOWNSEND AV,152400
254,87 LAURA LA,137200
255,"24 CARRIAGE HILL DRIVEBRANFORD, CT 06405",152600
256,74 ELIZABETH ANN DR,161200
257,"4 MOLLY ONEILL RDWALLINGFORD, CT 06492",151000
258,23 LAURA LA,156600
259,17 LAURA LA,153000
260,11 LAURA LA,150100
261,5 LAURA LA,105100
262,165 CHURCH ST,3300
263,"C/O EMPIRE PROPERTY MGT CORP625 EAST MAIN STBRANFORD, CT 06405",3000
264,151 HUNTINGTON RD,305400
265,155 HUNTINGTON RD,303500
266,145 HUNTINGTON RD,183200
267,137 HUNTINGTON RD,168700
268,129 HUNTINGTON ROAD,179800
269,123 HUNTINGTON RD,197300
270,115 HUNTINGTON ROAD,227600
271,107 HUNTINGTON RD,175100
272,99 HUNTINGTON RD,168600
273,91 HUNTINGTON RD,178100
274,487 FORT HALE ROAD,156900
275,"93 NORTH HUMISTON DRIVEBETHANY, CT 06524",182700
276,67 HUNTINGTON RD,178800
277,44 ELIZABETH ANN DRIVE,151200
278,52 ELIZABETH ANN DR,142600
279,56 ELIZABETH ANN DR,126300
280,60 ELIZABETH ANN DR,166500
281,66 ELIZABETH ANN DR,169900
282,"2 CHARTER OAK AVEAST HAVEN, CT 06512",5000
283,"2 CHARTER OAK AVEAST HAVEN, CT 06512",5000
284,10 CHARTER OAK AV,6300
285,18 CHARTER OAK AV,5000
286,"22 CHARTER OAK AVEAST HAVEN, CT 06512",5000
287,"3815 SOUTH WEST TEMPLEPO BOX 65250SALT LAKE CITY, UT 84115",5000
288,"11 HAINES STEAST HAVEN, CT 06512-0000",5000
289,"36 CHARTER OAK AVEAST HAVEN, CT 06512",5000
290,"C/O BOHDAN SOWA17 REYNOLDS LABRANFORD, CT 06405",5000
291,4 HUGHES ST EX,145700
292,8 HUGHES ST EX,153300
293,72 ELIZABETH ANN DR,140800
294,78 ELIZABETH ANN DR,133200
295,84 ELIZABETH ANN DR,144300
296,"20 THISTLE MEADOWBRANFORD, CT 06405",168600
297,"5025 DURHAM RDGUILFORD, CT 06437",163400
298,100 ELIZABETH ANN DR,146700
299,104 ELIZABETH ANN DRIVE,147700
300,"132 RENEES WAYGUILFORD, CT 06437",144600
301,118 ELIZABETH ANN DR,159000
302,124 ELIZABETH ANN DR,162200
303,"111 LAKE DORA DRWEST PALM BEACH, FL 33411",148700
304,138 ELIZABETH ANN DR,232200
305,146 ELIZABETH ANN DR,169600
306,5 MASSACHUSETTS AV,226500
307,11 MASSACHUSETTS AV,212200
308,21 MASSACHUSETTS AV,3200
309,77 ELIZABETH ANN DRIVE,142700
310,55 ELIZABETH ANN DR,173800
311,49  ELIZABETH ANN DR,146000
312,41 ELIZABETH ANN DR,136200
313,35 ELIZABETH ANN DR,120900
314,176 KNEECAND ROAD,125800
315,176 KNEELAND RD,162800
316,15 ELIZABETH ANN DR,152800
317,7 ELIZABETH ANN DR,132400
318,165 CHURCH ST,40100
319,147 ELIZABETH ANN DR,151700
320,141 ELIZABETH ANN DR,172300
321,131 ELIZABETH ANN DR,146900
322,15 ANTHONY DR,143100
323,117 ELIZABETH ANN DR,135500
324,103 ELIZABETH ANN DR,156100
325,109 ELIZABETH ANN DR,133700
326,83 ELIZABETH ANN DR,138700
327,75 ELIZABETH ANN DR,158400
328,120 TUTTLE DR,205800
329,37 HUNTINGTON RD,148400
330,29  HUNTINGTON RD,157600
331,23 HUNTINGTON RD,212100
332,NA,NA
333,87 CLARENDON ST,181300
334,95 CLARENDON ST,191800
335,105 CLARENDON ST,174000
336,8 ELIZABETH ANN DR,127500
337,18-20 ELIZABETH ANN DR,126800
338,28 ELIZABETH ANN DR,128700
339,32 ELIZABETH ANN DR,126100
340,821 TOWNSEND AVE,298200
341,29 SOUND VIEW TER,165400
342,"11 FELLSMERE FARM RDBRANFORD, CT 06405",187400
343,"1235 EARNEST STHERCULES, CA 94547",189800
344,59 SOUND VIEW TER,198500
345,75 SOUND VIEW TER,212000
346,"2414 MICKLE AVEBRONX, NY 10469",201500
347,95 SOUND VIEW TER,193100
348,105 SOUND VIEW TER,162300
349,115 SOUND VIEW TER,173500
350,125 SOUND VIEW TER,147500
351,135 SOUND VIEW TER,158400
352,"92 CHESTNUT STBROOKLINE, MA 02449",218800
353,4 HORSLEY AV,200400
354,2 HORSLEY AV,146100
355,PO BOX 329,400
356,"C/O EMPIRE PROPERTY MGT CORP625 EAST MAIN STBRANFORD, CT 06405",200
357,174 TUTTLE DR,230400
358,168 TUTTLE DR,241900
359,160 TUTTLE DR,251400
360,"367 CENTER STWEST HAVEN, CT 06516",210000
361,144 TUTTLE DR,213500
362,136 TUTTLE DR,200100
363,128 TUTTLE DR,223100
364,120 TUTTLE DR,207900
365,112 TUTTLE DR,298700
366,104  TUTTLE DR,244600
367,785 TOWNSEND AV,239900
368,795 TOWNSEND AV,220700
369,801 TOWNSEND AVENUE,237400
370,112 TUTTLE DR,6200
371,809 TOWNSEND AV,243800
372,91 HORSLEY AV,198700
373,265 UPSON TER,163100
374,285 UPSON TER,188400
375,40 HOPKINS DR,336300
376,30 HOPKINS DR,162700
377,22 HOPKINS DR,229300
378,14 HOPKINS DR,207300
379,8 HOPKINS DR,217000
380,4 HOPKINS DR,344200
381,PO BOX 329,300
382,1 HORSLEY AV,201200
383,5 HORSLEY AV,263000
384,11 HORSLEY AV,223300
385,35  HORSLEY AV,205500
386,45 HORSLEY AV,200700
387,61 HORSLEY AVE,182500
388,75 HORSLEY AV,189000
389,305 UPSON TER,349600
390,335 UPSON TER,267400
391,112  HUNTINGTON RD,173200
392,120 HUNTINGTON RD,229900
393,"49 BUCK HILL RDMADISON, CT 06443",165100
394,136 HUNTINGTON RD,194100
395,144 HUNTINGTON RD,201900
396,"28 LONGMEADOW RDTRUMBULL, CT 06611",243500
397,160 HUNTINGTON RD,264600
398,3 HOPKINS DR,5200
399,3 HOPKINS DR,357800
400,5 HOPKINS DR,194100
401,15 HOPKINS DRIVE,204200
402,19 HOPKINS DR,192500
403,25 HOPKINS DRIVE,209100
404,39 HOPKINS DR,247100
405,873 TOWNSEND AV,196200
406,131 UPSON TER,247900
407,20 LEROY TER,163800
408,16 LEROY TER,272200
409,60 SOUND VIEW TER,171100
410,44 SOUND VIEW TERRACE,261800
411,"23 SCENIC HILL RDMONROE, CT 06468",175300
412,835 TOWNSEND AV,200100
413,"1570 INVENTOR'S COURTFT. MYERS, FL 33901",262800
414,853 TOWNSEND AV,220200
415,165 CHURCH ST,500
416,155 UPSON TER,172500
417,165 UPSON TER,188000
418,175 UPSON TER,188600
419,185 UPSON TER,215300
420,195 UPSON TER,198700
421,205 UPSON TER,172700
422,215 UPSON TER,204100
423,140 SOUND VIEW TER,199400
424,"11 WHITEWOOD LALEDYARD, CT 06339",170900
425,136 SOUND VIEW TER,210200
426,126 SOUND VIEW TER,191300
427,114 SOUND VIEW TER,193800
428,116 COURT ST #301,208200
429,92 SOUND VIEW TER,210000
430,80 SOUND VIEW TER,213000
431,15 LEROY TER,174700
432,773 TOWNSEND AV,219600
433,105 TUTTLE DR,279100
434,115 TUTTLE DR,315000
435,123 TUTTLE DR,236000
436,129 TUTTLE DRIVE,187900
437,139  TUTTLE DR,218100
438,147 TUTTLE DR,203300
439,155 TUTTLE DR,249900
440,167 TUTTLE DRIVE,370100
441,"2046 WHITNEY AVHAMDEN, CT 06517",1000
442,110 TOWNSEND TER,191100
443,102 TOWNSEND TER,186800
444,96 TOWNSEND TER,177500
445,"14221 DALLAS PKWYDALLAS, TX 75254",195200
446,84 TOWNSEND TER,189900
447,80 TOWNSEND TER,152500
448,72 TOWNSEND TERRACE,225900
449,66 TOWNSEND TER,175900
450,60 TOWNSEND TERRACE,165100
451,52 TOWNSEND TER,223700
452,46 TOWNSEND TER,186300
453,38 TOWNSEND TER,166900
454,30 TOWNSEND TER,197300
455,22 TOWNSEND TER,173600
456,663  TOWNSEND AV,342700
457,"C/O SHARON TOWNSHEND783 LAWRENCE RDPOWNAL, ME 04069",1000
458,"C/O SHARON TOWNSHEND625 E MAIN STBRANFORD, CT 06405",82800
459,"C/O CYNTHIA TOWNSHEND-LACOCK1420 WEST STGUILFORD, CT 06437",1058400
460,"C/O SHARON TOWNSHEND783 LAWRENCE RDPOWNAL, ME 04069",1900
461,"C/O SHARON TOWNSHEND783 LAWRENCE RDPOWNAL, ME 04069",415
462,"C/O SHARON TOWNSHEND783 LAWRENCE RDPOWNAL, ME 04069",222300
463,147 TUTTLE DR,225700
464,601 TOWNSEND AV,317000
465,23 HALL ST,196200
466,27 HALL ST,211300
467,33 HALL ST,222000
468,41  HALL ST,263700
469,47 HALL ST,188700
470,55 HALL ST,172900
471,"87 HONEY POT RDWEST HAVEN, CT 06516",169400
472,65 HALL ST,169100
473,71 HALL ST,203200
474,77 HALL ST,198800
475,83 HALL ST,170500
476,89 HALL ST,168900
477,95 HALL ST,171600
478,103 HALL ST,209500
479,105 HALL ST,171800
480,424 FORT HALE ROAD,174600
481,408 FORT HALE RD,168600
482,400 FORT HALE RD,175500
483,386 FORT HALE RD,175400
484,368 FORT HALE RD,186500
485,386 FORT HALE RD,54900
486,350 FORT HALE RD,179800
487,"12 GRANNIS RDORANGE, CT 06477",204900
488,330 FORT HALE RD,178900
489,320 FORT HALE RD,182600
490,306 FORT HALE ROAD,173700
491,294 FORT HALE RD,226400
492,280 FORT HALE RD,215500
493,270 FORT HALE RD,235300
494,260 FORT HALE RD,228600
495,581 TOWNSEND AV,172300
496,591 TOWNSEND AVENUE,239800
497,106 HALL ST,246200
498,100 HALL ST,234200
499,94 HALL ST,209700
500,88 HALL ST,181500
501,82 HALL ST,165800
502,76 HALL ST,205500
503,72 HALL ST,226900
504,66 HALL ST,184000
505,60 HALL ST,205100
506,54 HALL ST,202600
507,46 HALL ST,186500
508,40 HALL ST,207700
509,34 HALL ST,173000
510,28 HALL ST,195400
511,22 HALL ST,184900
512,22 HALL ST,4100
513,8 HALL ST,245400
514,621 TOWNSEND AV,252900
515,216 CROWN STSUITE 502,402500
516,637 TOWNSEND AVE,5500
517,49 TOWNSEND TER,225000
518,645 TOWNSEND AVENUE,239400
519,655 TOWNSEND AV,304200
520,25 TOWNSEND TERR,189400
521,33 TOWNSEND TER,279100
522,37  TOWNSEND TER,298400
523,43 TOWNSEND TER,134100
524,49 TOWNSEND TER,3100
525,51 TOWNSEND TER,163300
526,59 TOWNSEND TER,152500
527,65 TOWNSEND TER,212900
528,71 TOWNSEND TER,206300
529,77 TOWNSEND TER,136600
530,85 TOWNSEND TER,187600
531,91 TOWNSEND TER,154800
532,99 TOWNSEND TER,161500
533,105 TOWNSEND TER,196300
534,232 HYDE ST,169900
535,220 HYDE ST,215000
536,15 TOLLI TER,194500
537,19 TOLLI TER,211100
538,27 TOLLI TER,220500
539,35 TOLLI TER,215100
540,43 TOLLI TER,268400
541,59 TOLLI TER,293400
542,52 TOLLI TER,218100
543,48 TOLLI TERRACE,217700
544,40 TOLLI TER,254400
545,30 TOLLI TER,228100
546,20 TOLLI TER,221200
547,10 TOLLI TER,202600
548,4 TOLLI TER,172300
549,503 TOWNSEND AV,198300
550,21 STUYVESANT AV,63200
551,21 STUYVESANT AV,191700
552,27 STUYVESANT AV,193900
553,P O BOX 1912,153900
554,41 STUYVESANT AV,145500
555,45 STUYVESANT AV,241300
556,47 STUYVESANT AV,183700
557,53 STUYVESANT AV,166100
558,"392 ELM ST K-3WEST HAVEN, CT 06512",143400
559,61 STUYVESANT AV,204600
560,65 STUYVESANT AV,180500
561,71 STUYVESANT AV,202200
562,"131 ANNS FARM RDHAMDEN, CT 06514",189800
563,236 DWIGHT ST    APT 3,213700
564,88 HYDE ST,247600
565,82 HYDE ST,142800
566,74 HYDE ST,203000
567,76 GIRARD AV,168300
568,70 GIRARD AV,162700
569,64 GIRARD AV,202100
570,56 GIRARD AV,184000
571,52 GIRARD AV,185100
572,48 GIRARD AV,166700
573,44 GIRARD AVE,191700
574,38 GIRARD AV,216600
575,403 EDGEWOOD AV,170900
576,24  GIRARD AV,189100
577,18 GIRARD AV,102300
578,483 TOWNSEND AV,215400
579,487 TOWNSEND AV,229900
580,493 TOWNSEND AV,2.00E+05
581,497 TOWNSEND AV,218900
582,565 TOWNSEND AV,278300
583,255 FORT HALE RD,202900
584,267 FORT HALE RD,239400
585,287 FORT HALE RD,243000
586,303 FORT HALE RD,191300
587,287 FORT HALE RD,6700
588,325 FORT HALE RD,260100
589,84 ROSEWOOD AVE,130500
590,355 FORT HALE RD,167500
591,369 FORT HALE ROAD,253500
592,387 FORT HALE RD,226500
593,405 FORT HALE ROAD,167100
594,425 FORT HALE RD,166900
595,136 HYDE ST,171600
596,"140 MILL ST APT 10-70EAST HAVEN, CT 06512",178500
597,126 HYDE ST,197700
598,120 HYDE ST,234600
599,116 HYDE ST,195500
600,108 HYDE ST,235600
601,76 STUYVESANT AV,158300
602,NA,NA
603,72 STUYVESANT AV,166100
604,68 STUYVESANT AV,157900
605,62 STUYVESANT AV,184400
606,58 STUYVESANT AV,197400
607,52 STUYVESANT AV,234800
608,48 STUYVESANT AV,209500
609,42 STUYVESANT AV,233200
610,38 STUYVESANT AV,195500
611,30 STUYVESANT AV,252800
612,16 STUYVESANT AV,267200
613,14 STUYVESANT AV,159800
614,511 TOWNSEND AV,240200
615,519 TOWNSEND AV,153500
616,523 TOWNSEND AVE,169500
617,527 TOWNSEND AV,255700
618,535 TOWNSEND AV,216700
619,541 TOWNSEND AV,188500
620,551 TOWNSEND AV,313400
621,555 TOWNSEND AV,220000
622,73 HYDE ST,159700
623,77 HYDE ST,159600
624,81 HYDE ST,161000
625,85 HYDE ST,157900
626,91 HYDE ST,161500
627,97 HYDE ST,166100
628,111 STUYVESANT AV,163000
629,P O BOX 1912,262300
630,645 WHITNEY AV,142600
631,104 GIRARD AV,4800
632,112  GIRARD AV,200100
633,104 GIRARD AV,186700
634,5 STEWART ST,188600
635,21 STEWART ST,197800
636,137 STUYVESANT AV,189500
637,143 STUYVESANT AV,168200
638,145 STUYVESANT AV,216300
639,204 BURR ST,133900
640,174 BURR ST,162400
641,140 GIRARD AV,107400
642,132 GIRARD AV,151700
643,105 HYDE ST,168800
644,118 TOWNSEND TER,156200
645,115 HYDE ST,127900
646,121 HYDE ST,190800
647,127 HYDE ST,160600
648,133 HYDE ST,165500
649,141 HYDE STREET,183500
650,471 FORT HALE RD,156300
651, FORT HALE RD,39100
652,NA,NA
653,487 FORT HALE RD,155000
654,495 FORT HALE RD,183700
655,54 STEWART ST,206200
656,50 STEWART ST,175000
657,44 STEWART ST,193000
658,120 STUYVESANT AV,215700
659,35 STEWART ST,209700
660,41 STEWART ST,202200
661,45 STEWART ST,203200
662,49 STEWART STREET,147700
663,57 STEWART ST,222500
664,515 FORT HALE RD,218000
665,535 FORT HALE RD,184800
666,555 FORT HALE ROAD,205500
667,569 FORT HALE RD,201800
668,585 FORT HALE RD,163300
669,230 BURR ST,167200
670,226 BURR ST,149200
671,220 BURR ST,120800
672,210 BURR ST,112700
673,150 STUYVESANT AV,150200
674,146 STUYVESANT AV,167200
675,151 HYDE ST,187300
676,"PO BOX 890027 DALLAS, TX 75389",161300
677,165 HYDE ST,209000
678,119 HALL ST,196100
679,129 HALL ST,190400
680,137 HALL ST,202500
681,145 HALL ST,183300
682,151 HALL ST,212800
683,155 HALL ST,165500
684,159 HALL ST,228700
685,163 HALL ST,172400
686,175 HALL ST,175700
687,274 BURR ST,124600
688,"7 BLACK WALNUT DRNEWTOWN, CT 06470",123400
689,"1314 EAST LAS OLAS BLVD STE 34FORT LAUDERDALE, FL 33301",125300
690,250 BURR ST,126400
691,570 FORT HALE RD,157500
692,550 FORT HALE RD,284400
693,"9 BARNUM AVENORWALK, CT 06851",167300
694,530 FORT HALE RD,136500
695,520 FORT HALE RD,165300
696,510 FORT HALE RD,156000
697,488 FORT HALE ROAD,182500
698,478 FORT HALE RD,162800
699,468  FORT HALE RD,132600
700,120 HALL ST,196400
701,203 HYDE STREET,181900
702,211 HYDE ST,209700
703,296 BURR ST,222400
704,292 BURR ST,181200
705,286 BURR ST,191000
706,180 HALL ST,194000
707,177 TOWNSEND TER,6200
708,174 HALL ST,201700
709,180 TOWNSEND TER,290700
710,166 HALL ST,168600
711,158 HALL ST,185100
712,177 TOWNSEND TER,216700
713,148 HALL ST,274400
714,136 HALL ST,237400
715,130 HALL ST,158000
716,P O BOX 1912,130100
717,87 BURR ST,144500
718,97 BURR ST,123400
719,103 BURR ST,160000
720,109 BURR ST,142300
721,1850 DEAN ST,207800
722,1840 DEAN ST,137200
723,1836 DEAN ST,165100
724,1832 DEAN ST,115600
725,1820 DEAN ST,112900
726,40 ELMER ST,142900
727,34 ELMER ST,178900
728,"87 HONEYPOT RDWEST HAVEN, CT 06516",163700
729,24 ELMER ST,180600
730,20 ELMER ST,152500
731,"44 LOOKOUT DRCOLCHESTER, CT 06415",171700
732,327  CONCORD ST,139700
733,331 CONCORD ST,161800
734,337 CONCORD ST,155900
735,341 CONCORD ST,214500
736,349 CONCORD ST,167100
737,165 CHURCH ST,5000
738,421 TOWNSEND AV,161600
739,385 TOWNSEND AV,4355273
740,P O BOX 1912,60900
741,P O BOX 1912,299700
742,396 CONCORD ST,199600
743,388 CONCORD ST,156900
744,66 BURR ST,183100
745,54  BURR ST,211300
746,60 BURR ST,221900
747,"44 BURR STEAST HAVEN, CT 06512",177900
748,34 BURR ST,154700
749,431 TOWNSEND AV,162900
750,439 TOWNSEND AV,146600
751,"PO BOX 120713EAST HAVEN, CT 06512",131000
752,19 LEY ST,132900
753,25  LEY ST,197300
754,31 LEY ST,150200
755,37 LEY ST,196000
756,47 LEY ST,195400
757,51 LEY ST,163300
758,57 LEY ST,193600
759,63 LEY ST  2ND FL,192800
760,71 LEY ST,149600
761,77 LEY ST,152000
762,81 LEY ST,199000
763,89 LEY ST,149300
764,95 LEY ST,168100
765,110 BURR ST,167100
766,"166 PARKLANDS TRAILBOZEMAN, MT 59718",168500
767,104 BURR ST,193400
768,100 BURR ST,202800
769,375 CONCORD ST,202900
770,383 CONCORD ST,204700
771,473 TOWNSEND AV,304600
772,17 GIRARD AV,224600
773,23 GIRARD AV,141800
774,"18 SPICE BUSH LANEBRANFORD, CT 06405",176100
775,33 GIRARD AVE,173300
776,35 GIRARD AV,191100
