"pid","location","totval"
110,"158 TOWNSEND TERRNEW HAVEN, CT 06512",206000
111,"189 ROSE ST EXTENSIONEAST HAVEN, CT 06513",201900
112,"168 TOWNSEND TERNEW HAVEN, CT 06512",196500
113,"172 TOWNSEND TERNEW HAVEN, CT 06512",219400
114,"176 TOWNSEND TERNEW HAVEN, CT 06512",184700
115,"400 BURR STNEW HAVEN, CT 06512",2100
116,"393 BURR STNEW HAVEN, CT 06511",152300
117,"155 BURR STNEW HAVEN, CT 06512",58600
118,"25 HOLMES STNEW HAVEN, CT 06512",102700
119,"437 BURR STNEW HAVEN, CT 06512",131500
120,"378 MANSFIELD GROVE RDEAST HAVEN, CT 06513",165100
121,"419 BURR STNEW HAVEN, CT 06512",208400
122,"409 BURR STNEW HAVEN, CT 06512",143300
123,"401 BURR STNEW HAVEN, CT 06512",223200
124,"18 HOLMES STNEW HAVEN, CT 06512",204100
125,"395 BURR STNEW HAVEN, CT 06512",1000
126,"165 CHURCH STNEW HAVEN, CT 06510",52500
127,"404 BURR STNEW HAVEN, CT 06512",208900
128,"412 BURR STNEW HAVEN, CT 06512",195800
129,"416 BURR STNEW HAVEN, CT 06512",164400
130,"420 BURR STNEW HAVEN, CT 06512",184100
131,"434 BURR STNEW HAVEN, CT 06511",56600
132,"440 BURR STNEW HAVEN, CT 06511",188200
133,"408 BURR STNEW HAVEN, CT 06512",304000
134,"428 BURR STNEW HAVEN, CT 06511",13200
135,"42 LAURA LANEW HAVEN, CT 06512",5700
136,"675 TOWNSEND AV    116NEW HAVEN, CT 06512",152900
137,"675 TOWNSEND AVNEW HAVEN, CT 06512",191000
138,"675 TOWNSEND AV  UNIT 118NEW HAVEN, CT 06512",191000
139,"675 TOWNSEND AV, UNIT 119NEW HAVEN, CT 06512",152600
140,"675 TOWNSEND AV   120NEW HAVEN, CT 06512",150700
141,"675 TOWNSEND AV #121NEW HAVEN, CT 06512",191000
142,"675 TOWNSEND AVE B-3 U-132NEW HAVEN, CT 06512",186900
143,"675 TOWNSEND AV U-133 BLDG 3NEW HAVEN, CT 06512",150700
144,"675 TOWNSEND AV     134NEW HAVEN, CT 06512",157200
145,"675 TOWNSEND AV UNIT135NEW HAVEN, CT 06512",201300
146,"675 TOWNSEND AV 136NEW HAVEN, CT 06512",201300
147,"675 TOWNSEND AVE UNIT 137NEW HAVEN, CT 06512",164500
148,"675 TOWNSEND AVE UNIT 138NEW HAVEN, CT 06512",201300
149,"102 TOWNSEND TERNEW HAVEN, CT 06512",164800
150,"675 TOWNSEND AV  140NEW HAVEN, CT 06512",164800
151,"675 TOWNSEND AV  UNIT 141NEW HAVEN, CT 06512",201300
152,"675 TOWNSEND AVNEW HAVEN, CT 06511",170000
153,"675 TOWNSEND AV    UNIT 143NEW HAVEN, CT 06512",204900
154,"675 TOWNSEND AV   UNIT 154NEW HAVEN, CT 06512",190800
155,"675 TOWNSEND AVNEW HAVEN, CT 06512",164800
156,"675 TOWNSEND AVNEW HAVEN, CT 06512",166800
157,"675 TOWNSEND AV APT 157NEW HAVEN, CT 06512",201300
158,"675 TOWNSEND AV UNIT 158NEW HAVEN, CT 06512",183600
159,"PO BOX 26124WEST HAVEN , CT 06516-0961",201300
160,"675 TOWNSEND AV UNUIT 160NEW HAVEN, CT 06512",184300
161,"675 TOWNSEND AV 161NEW HAVEN, CT 06512",164800
162,"675 TOWNSEND AV  #162NEW HAVEN, CT 06512",166800
163,"675 TOWNSEND AVE UNIT 163NEW HAVEN, CT 06512",187900
164,"675 TOWNSEND AVNEW HAVEN, CT 06513",201300
165,"521 CATALINA ISLES CIRVENICE, FL 34292",164800
166,"675 TOWNSEND AV UNIT 166NEW HAVEN, CT 06512",166700
167,"675 TOWNSEND AV #167NEW HAVEN, CT 06512",164500
168,"675 TOWNSEND AV  #168NEW HAVEN, CT 06512",123600
169,"675 TOWNSEND AVUNIT 169 BLDG 11NEW HAVEN, CT 06512",153600
170,"675 TOWNSEND AVNEW HAVEN, CT 06511",150700
171,"675 TOWNSEND AV  UNIT 171NEW HAVEN, CT 06512",150600
172,"34 CLINTON STGLASTONBURY, CT 06033",169800
173,"675 TOWNSEND AVBLDG 12 UNIT 179NEW HAVEN, CT 06512",153600
174,"675 TOWNSEND AVNEW HAVEN, CT 06511",150000
175,"675 TOWNSEND AVE #181NEW HAVEN, CT 06512",140000
176,"675 TOWNSEND AV UNIT 190NEW HAVEN, CT 06512",163800
177,"675  TOWNSEND AV #191NEW HAVEN, CT 06512",150700
178,"675 TOWNSEND AVENEW HAVEN, CT 06511",150700
179,"675 TOWNSEND AVUNIT 193NEW HAVEN, CT 06512",172100
180,"675 TOWNSEND AV UNIT 186NEW HAVEN, CT 06512",152900
181,"675 TOWNSEND AV   UNIT 187NEW HAVEN, CT 06512",151900
182,"32 BOULDER BROOK COURTPROSPECT, CT 06712",150700
183,"675 TOWNSEND AV UNIT 189NEW HAVEN, CT 06512",152900
184,"675 TOWNSEND AV     182NEW HAVEN, CT 06512",152300
185,"675 TOWNSEND AV # 183NEW HAVEN, CT 06512",150000
186,"675 TOWNSEND AVNEW HAVEN, CT 06511",154200
187,"675 TOWNSEND AV #185NEW HAVEN, CT 06512",172100
188,"675 TOWNSEND AVNEW HAVEN, CT 06512",111600
189,"675 TOWNSEND AVNEW HAVEN, CT 06511",153500
190,"419 CONCEPTS 21 DRLITHONIA, GA 30058",143000
191,"675 TOWNSEND AVNEW HAVEN, CT 06512",153200
192,"675 TOWNSEND AV UNIT 174NEW HAVEN, CT 06512",152600
193,"675 TOWNSEND AV UNIT 175NEW HAVEN, CT 06512",109600
194,"675 TOWNSEND AV 152NEW HAVEN, CT 06512",119300
195,"675 TOWNSEND AVENEW HAVEN, CT 06512",150600
196,"675 TOWNSEND AVNEW HAVEN, CT 06512",157400
197,"675 TOWNSEND AVNEW HAVEN, CT 06512",150700
198,"675 TOWNSEND AV UNIT 150NEW HAVEN, CT 06512",150700
199,"675 TOWNSEND AV 151NEW HAVEN, CT 06512",125200
200,"675 TOWNSEND AVNEW HAVEN, CT 06515",157400
201,"675 TOWNSENDUNIT #145NEW HAVEN, CT 06513",150700
202,"675 TOWNSEND AVNEW HAVEN, CT 06512",150700
203,"675 TOWNSEND AV #147NEW HAVEN, CT 06512",159500
204,"675 TOWNSEND AVNEW HAVEN, CT 06512",184300
205,"675 TOWNSEND AV    129NEW HAVEN, CT 06512",150700
206,"675 TOWNSEND AV 130NEW HAVEN, CT 06512",150700
207,"675 TOWNSEND AVNEW HAVEN, CT 06512",184300
208,"675 TOWNSEND AV U126 B22NEW HAVEN, CT 06512",155800
209,"675 TOWNSEND AVBLDG 22  UNIT 127NEW HAVEN, CT 06512",199300
210,"675 TOWNSEND AV   122NEW HAVEN, CT 06512",191000
211,"675 TOWNSEND AVNEW HAVEN, CT 06512",150700
212,"675 TOWNSEND AVNEW HAVEN, CT 06511",170400
213,"675 TOWNSEND AV 125NEW HAVEN, CT 06512",191100
214,"675 TOWNSEND AV   112NEW HAVEN, CT 06512",175400
215,"675 TOWNSEND AVNEW HAVEN, CT 06511",150700
216,"675 TOWNSEND AVNEW HAVEN, CT 06512",150700
217,"675 TOWNSEND AV UNIT 115NEW HAVEN, CT 06512",191000
218,"675 TOWNSEND AV 108NEW HAVEN, CT 06512",172100
219,"675 TOWNSEND AV #109NEW HAVEN, CT 06512",155900
220,"675  TOWNSEND AV  UNIT 110NEW HAVEN, CT 06512",156600
221,"675 TOWNSEND AV   UNIT 111NEW HAVEN, CT 06512",192900
222,"675 TOWNSEND AV    UNIT 104NEW HAVEN, CT 06512",210900
223,"675 TOWNSEND AVNEW HAVEN, CT 06512",167800
224,"675 TOWNSEND AV UNIT 106NEW HAVEN, CT 06512",155600
225,"675 TOWNSEND AVE  #107NEW HAVEN, CT 06512",166800
226,"200 RIVERSIDE BLVD # 42ANEW YORK, NY 10069",203900
227,"675 TOWNSEND AV UNIT102NEW HAVEN, CT 06512",166800
228,"675 TOWNSEND AV UNIT 103NEW HAVEN, CT 06512",203900
229,"108 LAURA LANEW HAVEN, CT 06512",8200
230,"102 LAURA LANEW HAVEN, CT 06512",146900
231,"34 WHALERS PY RDEAST HAVEN, CT 06512",131800
232,"987 HILLSBORO MILEHILLSBORO, FL 33062",3200
233,"987 HILLSBORO MILEHILLSBORO BEACH, FL 33062",5200
234,"86 LAURA LANEW HAVEN, CT 06512",150700
235,"80 LAURA LANEW HAVEN, CT 06512",140700
236,"76 LAURA LANEW HAVEN, CT 06512",140200
237,"72 LAURA LANEW HAVEN, CT 06512",155800
238,"68 LAURA LANEW HAVEN, CT 06512",162200
239,"62 LAURA LANEW HAVEN, CT 06512",166100
240,"56 LAURA LANEW HAVEN, CT 06512",154800
241,"50 LAURA LANEW HAVEN, CT 06512",151600
242,"46 LAURA LANEW HAVEN, CT 06512",242300
243,"42 LAURA LANEW HAVEN, CT 06512",179500
244,"38 LAURA LANEW HAVEN, CT 06512",163800
245,"32 LAURA LANEW HAVEN, CT 06512",153000
246,"24 LAURA LANEW HAVEN, CT 06512",179100
247,"5846 CONTE DRLOTHIAN, MD 20711",152200
248,"10 LAURA LANEW HAVEN, CT 06511",143300
249,"4 LAURA LANEW HAVEN, CT 06512",135200
250,"115 LAURA LAEAST HAVEN, CT 06512-0000",10200
251,"107 LAURA LANEW HAVEN, CT 06512",142600
252,"62 ASYLUM STNEW HAVEN, CT 06519",154200
253,"115 TOWNSEND AVNEW HAVEN, CT 06512",152400
254,"87 LAURA LANEW HAVEN, CT 06512",137200
255,"24 CARRIAGE HILL DRIVEBRANFORD, CT 06405",152600
256,"74 ELIZABETH ANN DRNEW HAVEN, CT 06512",161200
257,"4 MOLLY ONEILL RDWALLINGFORD, CT 06492",151000
258,"23 LAURA LANEW HAVEN, CT 06512",156600
259,"17 LAURA LANEW HAVEN, CT 06512",153000
260,"11 LAURA LANEW HAVEN, CT 06511",150100
261,"5 LAURA LANEW HAVEN, CT 06512",105100
262,"165 CHURCH STNEW HAVEN, CT 06510",3300
263,"C/O EMPIRE PROPERTY MGT CORP625 EAST MAIN STBRANFORD, CT 06405",3000
264,"151 HUNTINGTON RDNEW HAVEN, CT 06512",305400
265,"155 HUNTINGTON RDNEW HAVEN, CT 06512",303500
266,"145 HUNTINGTON RDNEW HAVEN, CT 06512",183200
267,"137 HUNTINGTON RDNEW HAVEN, CT 06511",168700
268,"129 HUNTINGTON ROADNEW HAVEN, CT 06512",179800
269,"123 HUNTINGTON RDNEW HAVEN, CT 06511",197300
270,"115 HUNTINGTON ROADNEW HAVEN, CT 06512",227600
271,"107 HUNTINGTON RDNEW HAVEN, CT 06511",175100
272,"99 HUNTINGTON RDNEW HAVEN, CT 06512",168600
273,"91 HUNTINGTON RDNEW HAVEN, CT 06512",178100
274,"487 FORT HALE ROADNEW HAVEN, CT 06512",156900
275,"93 NORTH HUMISTON DRIVEBETHANY, CT 06524",182700
276,"67 HUNTINGTON RDNEW HAVEN, CT 06512",178800
277,"44 ELIZABETH ANN DRIVENEW HAVEN, CT 06512",151200
278,"52 ELIZABETH ANN DRNEW HAVEN, CT 06512",142600
279,"56 ELIZABETH ANN DRNEW HAVEN, CT 06512",126300
280,"60 ELIZABETH ANN DRNEW HAVEN, CT 06512",166500
281,"66 ELIZABETH ANN DRNEW HAVEN, CT 06512",169900
282,"2 CHARTER OAK AVEAST HAVEN, CT 06512",5000
283,"2 CHARTER OAK AVEAST HAVEN, CT 06512",5000
284,"10 CHARTER OAK AVNEW HAVEN, CT 06512",6300
285,"18 CHARTER OAK AVNEW HAVEN, CT 06512",5000
286,"22 CHARTER OAK AVEAST HAVEN, CT 06512",5000
287,"3815 SOUTH WEST TEMPLEPO BOX 65250SALT LAKE CITY, UT 84115",5000
288,"11 HAINES STEAST HAVEN, CT 06512-0000",5000
289,"36 CHARTER OAK AVEAST HAVEN, CT 06512",5000
290,"C/O BOHDAN SOWA17 REYNOLDS LABRANFORD, CT 06405",5000
291,"4 HUGHES ST EXNEW HAVEN, CT 06512",145700
292,"8 HUGHES ST EXNEW HAVEN, CT 06512",153300
293,"72 ELIZABETH ANN DRNEW HAVEN, CT 06512",140800
294,"78 ELIZABETH ANN DRNEW HAVEN, CT 06512",133200
295,"84 ELIZABETH ANN DRNEW HAVEN, CT 06512",144300
296,"20 THISTLE MEADOWBRANFORD, CT 06405",168600
297,"5025 DURHAM RDGUILFORD, CT 06437",163400
298,"100 ELIZABETH ANN DRNEW HAVEN, CT 06512",146700
299,"104 ELIZABETH ANN DRIVENEW HAVEN, CT 06512",147700
300,"132 RENEES WAYGUILFORD, CT 06437",144600
301,"118 ELIZABETH ANN DRNEW HAVEN, CT 06512",159000
302,"124 ELIZABETH ANN DRNEW HAVEN, CT 06512",162200
303,"111 LAKE DORA DRWEST PALM BEACH, FL 33411",148700
304,"138 ELIZABETH ANN DRNEW HAVEN, CT 06512",232200
305,"146 ELIZABETH ANN DRNEW HAVEN, CT 06512",169600
306,"5 MASSACHUSETTS AVNEW HAVEN, CT 06511",226500
307,"11 MASSACHUSETTS AVNEW HAVEN, CT 06512",212200
308,"21 MASSACHUSETTS AVNEW HAVEN, CT 06512",3200
309,"77 ELIZABETH ANN DRIVENEW HAVEN, CT 06512",142700
310,"55 ELIZABETH ANN DRNEW HAVEN, CT 06512",173800
311,"49  ELIZABETH ANN DRNEW HAVEN, CT 06512",146000
312,"41 ELIZABETH ANN DRNEW HAVEN, CT 06512",136200
313,"35 ELIZABETH ANN DRNEW HAVEN, CT 06512",120900
314,"176 KNEECAND ROADNEW HAVEN, CT 06512",125800
315,"176 KNEELAND RDNEW HAVEN, CT 06512",162800
316,"15 ELIZABETH ANN DRNEW HAVEN, CT 06512",152800
317,"7 ELIZABETH ANN DRNEW HAVEN, CT 06512",132400
318,"165 CHURCH STNEW HAVEN, CT 06510",40100
319,"147 ELIZABETH ANN DRNEW HAVEN, CT 06511",151700
320,"141 ELIZABETH ANN DRNEW HAVEN, CT 06512",172300
321,"131 ELIZABETH ANN DRNEW HAVEN, CT 06512",146900
322,"15 ANTHONY DRNEW HAVEN, CT 06512",143100
323,"117 ELIZABETH ANN DRNEW HAVEN, CT 06512",135500
324,"103 ELIZABETH ANN DRNEW HAVEN, CT 06512",156100
325,"109 ELIZABETH ANN DRNEW HAVEN, CT 06512",133700
326,"83 ELIZABETH ANN DRNEW HAVEN, CT 06512",138700
327,"75 ELIZABETH ANN DRNEW HAVEN, CT 06512",158400
328,"120 TUTTLE DRNEW HAVEN, CT 06512",205800
329,"37 HUNTINGTON RDNEW HAVEN, CT 06513",148400
330,"29  HUNTINGTON RDNEW HAVEN, CT 06512",157600
331,"23 HUNTINGTON RDNEW HAVEN, CT 06512",212100
332,NA,NA
333,"87 CLARENDON STNEW HAVEN, CT 06512",181300
334,"95 CLARENDON STNEW HAVEN, CT 06512",191800
335,"105 CLARENDON STNEW HAVEN, CT 06512",174000
336,"8 ELIZABETH ANN DRNEW HAVEN, CT 06512",127500
337,"18-20 ELIZABETH ANN DRNEW HAVEN, CT 06512",126800
338,"28 ELIZABETH ANN DRNEW HAVEN, CT 06512",128700
339,"32 ELIZABETH ANN DRNEW HAVEN, CT 06512",126100
340,"821 TOWNSEND AVENEW HAVEN, CT 06512",298200
341,"29 SOUND VIEW TERNEW HAVEN, CT 06512",165400
342,"11 FELLSMERE FARM RDBRANFORD, CT 06405",187400
343,"1235 EARNEST STHERCULES, CA 94547",189800
344,"59 SOUND VIEW TERNEW HAVEN, CT 06511",198500
345,"75 SOUND VIEW TERNEW HAVEN, CT 06512",212000
346,"2414 MICKLE AVEBRONX, NY 10469",201500
347,"95 SOUND VIEW TERNEW HAVEN, CT 06512",193100
348,"105 SOUND VIEW TERNEW HAVEN, CT 06512",162300
349,"115 SOUND VIEW TERNEW HAVEN, CT 06512",173500
350,"125 SOUND VIEW TERNEW HAVEN, CT 06512",147500
351,"135 SOUND VIEW TERNEW HAVEN, CT 06512",158400
352,"92 CHESTNUT STBROOKLINE, MA 02449",218800
353,"4 HORSLEY AVNEW HAVEN, CT 06511",200400
354,"2 HORSLEY AVNEW HAVEN, CT 06512",146100
355,"PO BOX 329NEW HAVEN, CT 06511-0329",400
356,"C/O EMPIRE PROPERTY MGT CORP625 EAST MAIN STBRANFORD, CT 06405",200
357,"174 TUTTLE DRNEW HAVEN, CT 06512",230400
358,"168 TUTTLE DRNEW HAVEN, CT 06512",241900
359,"160 TUTTLE DRNEW HAVEN, CT 06512",251400
360,"367 CENTER STWEST HAVEN, CT 06516",210000
361,"144 TUTTLE DRNEW HAVEN, CT 06511",213500
362,"136 TUTTLE DRNEW HAVEN, CT 06512",200100
363,"128 TUTTLE DRNEW HAVEN, CT 06512",223100
364,"120 TUTTLE DRNEW HAVEN, CT 06512",207900
365,"112 TUTTLE DRNEW HAVEN, CT 06512",298700
366,"104  TUTTLE DRNEW HAVEN, CT 06512",244600
367,"785 TOWNSEND AVNEW HAVEN, CT 06512",239900
368,"795 TOWNSEND AVNEW HAVEN, CT 06512",220700
369,"801 TOWNSEND AVENUENEW HAVEN, CT 06512",237400
370,"112 TUTTLE DRNEW HAVEN, CT 06512",6200
371,"809 TOWNSEND AVNEW HAVEN, CT 06512",243800
372,"91 HORSLEY AVNEW HAVEN, CT 06512",198700
373,"265 UPSON TERNEW HAVEN, CT 06512",163100
374,"285 UPSON TERNEW HAVEN, CT 06512",188400
375,"40 HOPKINS DRNEW HAVEN, CT 06512",336300
376,"30 HOPKINS DRNEW HAVEN, CT 06511",162700
377,"22 HOPKINS DRNEW HAVEN, CT 06513",229300
378,"14 HOPKINS DRNEW HAVEN, CT 06512",207300
379,"8 HOPKINS DRNEW HAVEN, CT 06512",217000
380,"4 HOPKINS DRNEW HAVEN, CT 06511",344200
381,"PO BOX 329NEW HAVEN, CT 06511-0329",300
382,"1 HORSLEY AVNEW HAVEN, CT 06512",201200
383,"5 HORSLEY AVNEW HAVEN, CT 06511",263000
384,"11 HORSLEY AVNEW HAVEN, CT 06512",223300
385,"35  HORSLEY AVNEW HAVEN, CT 06512",205500
386,"45 HORSLEY AVNEW HAVEN, CT 06511",200700
387,"61 HORSLEY AVENEW HAVEN, CT 06512",182500
388,"75 HORSLEY AVNEW HAVEN, CT 06512",189000
389,"305 UPSON TERNEW HAVEN, CT 06512",349600
390,"335 UPSON TERNEW HAVEN, CT 06512",267400
391,"112  HUNTINGTON RDNEW HAVEN, CT 06512",173200
392,"120 HUNTINGTON RDNEW HAVEN, CT 06512",229900
393,"49 BUCK HILL RDMADISON, CT 06443",165100
394,"136 HUNTINGTON RDNEW HAVEN, CT 06512",194100
395,"144 HUNTINGTON RDNEW HAVEN, CT 06512",201900
396,"28 LONGMEADOW RDTRUMBULL, CT 06611",243500
397,"160 HUNTINGTON RDNEW HAVEN, CT 06512",264600
398,"3 HOPKINS DRNEW HAVEN, CT 06512",5200
399,"3 HOPKINS DRNEW HAVEN, CT 06512",357800
400,"5 HOPKINS DRNEW HAVEN, CT 06512",194100
401,"15 HOPKINS DRIVENEW HAVEN, CT 06512",204200
402,"19 HOPKINS DRNEW HAVEN, CT 06512",192500
403,"25 HOPKINS DRIVENEW HAVEN, CT 06512",209100
404,"39 HOPKINS DRNEW HAVEN, CT 06512",247100
405,"873 TOWNSEND AVNEW HAVEN, CT 06512",196200
406,"131 UPSON TERNEW HAVEN, CT 06512",247900
407,"20 LEROY TERNEW HAVEN, CT 06512",163800
408,"16 LEROY TERNEW HAVEN, CT 06512",272200
409,"60 SOUND VIEW TERNEW HAVEN, CT 06512",171100
410,"44 SOUND VIEW TERRACENEW HAVEN, CT 06512",261800
411,"23 SCENIC HILL RDMONROE, CT 06468",175300
412,"835 TOWNSEND AVNEW HAVEN, CT 06512",200100
413,"1570 INVENTOR'S COURTFT. MYERS, FL 33901",262800
414,"853 TOWNSEND AVNEW HAVEN, CT 06512",220200
415,"165 CHURCH STNEW HAVEN, CT 06510",500
416,"155 UPSON TERNEW HAVEN, CT 06512",172500
417,"165 UPSON TERNEW HAVEN, CT 06512",188000
418,"175 UPSON TERNEW HAVEN, CT 06512",188600
419,"185 UPSON TERNEW HAVEN, CT 06512",215300
420,"195 UPSON TERNEW HAVEN, CT 06512",198700
421,"205 UPSON TERNEW HAVEN, CT 06512",172700
422,"215 UPSON TERNEW HAVEN, CT 06512",204100
423,"140 SOUND VIEW TERNEW HAVEN, CT 06512",199400
424,"11 WHITEWOOD LALEDYARD, CT 06339",170900
425,"136 SOUND VIEW TERNEW HAVEN, CT 06512",210200
426,"126 SOUND VIEW TERNEW HAVEN, CT 06512",191300
427,"114 SOUND VIEW TERNEW HAVEN, CT 06512",193800
428,"116 COURT ST #301NEW HAVEN, CT 06511",208200
429,"92 SOUND VIEW TERNEW HAVEN, CT 06512",210000
430,"80 SOUND VIEW TERNEW HAVEN, CT 06512",213000
431,"15 LEROY TERNEW HAVEN, CT 06512",174700
432,"773 TOWNSEND AVNEW HAVEN, CT 06512",219600
433,"105 TUTTLE DRNEW HAVEN, CT 06512",279100
434,"115 TUTTLE DRNEW HAVEN, CT 06512",315000
