pid,location,latitude_ArcGIS,longitude_ArcGIS
206,675 TOWNSEND AV #130,41.27505904,-72.89623306
207,675 TOWNSEND AV #131,41.27505904,-72.89623306
208,675 TOWNSEND AV #126,41.27505904,-72.89623306
209,675 TOWNSEND AV #127,41.27505904,-72.89623306
210,675 TOWNSEND AV #122,41.27505904,-72.89623306
211,675 TOWNSEND AV #123,41.27505904,-72.89623306
212,675 TOWNSEND AV #124,41.27505904,-72.89623306
213,675 TOWNSEND AV #125,41.27505904,-72.89623306
214,675 TOWNSEND AV #112,41.27505904,-72.89623306
215,675 TOWNSEND AV #113,41.27505904,-72.89623306
216,675 TOWNSEND AV #114,41.27505904,-72.89623306
217,675 TOWNSEND AV #115,41.27505904,-72.89623306
218,675 TOWNSEND AV #108,41.27505904,-72.89623306
219,675 TOWNSEND AV #109,41.27505904,-72.89623306
220,675 TOWNSEND AV #110,41.27505904,-72.89623306
221,675 TOWNSEND AV #111,41.27505904,-72.89623306
222,675 TOWNSEND AV #104,41.27505904,-72.89623306
223,675 TOWNSEND AV #105,41.27505904,-72.89623306
224,675 TOWNSEND AV #106,41.27505904,-72.89623306
225,675 TOWNSEND AV #107,41.27505904,-72.89623306
226,675 TOWNSEND AV #101,41.27505904,-72.89623306
227,675 TOWNSEND AV #102,41.27505904,-72.89623306
228,675 TOWNSEND AV #103,41.27505904,-72.89623306
229,108 LAURA LA,41.27716757,-72.88745205
230,102 LAURA LA,41.27722701,-72.88768283
231,96 LAURA LA,41.27728762,-72.8878833
232,LAURA LA,41.29517699,-72.89736452
233,LAURA LA,41.29517699,-72.89736452
234,86 LAURA LA,41.27738786,-72.88822247
235,80 LAURA LA,41.2774473,-72.88842294
236,76 LAURA LA,41.27745779,-72.88850803
237,72 LAURA LA,41.2774438,-72.88864906
238,68 LAURA LA,41.27738203,-72.88871666
239,62 LAURA LA,41.27726315,-72.88872715
240,56 LAURA LA,41.2771023,-72.88873647
241,50 LAURA LA,41.27693213,-72.88874696
242,46 LAURA LA,41.27678528,-72.88873647
243,42 LAURA LA,41.27674681,-72.88871899
244,38 LAURA LA,41.2766932,-72.88860826
245,32 LAURA LA,41.27663376,-72.88840779
246,24 LAURA LA,41.27657315,-72.88817818
247,16 LAURA LA,41.27650322,-72.88793808
248,10 LAURA LA,41.27643329,-72.88769798
249,4 LAURA LA,41.27637384,-72.88744389
250,115 LAURA LA,41.27701372,-72.88716883
251,107 LAURA LA,41.27712328,-72.88751849
252,101 LAURA LA,41.27718389,-72.88770847
253,95 LAURA LA,41.27724333,-72.88791827
254,87 LAURA LA,41.27731326,-72.88817818
255,81 LAURA LA,41.27721886,-72.88865372
256,35 LAURA LA,41.27692864,-72.88866421
257,29 LAURA LA,41.27666756,-72.8883332
258,23 LAURA LA,41.27662793,-72.88817352
259,17 LAURA LA,41.276558,-72.88792293
260,11 LAURA LA,41.27649739,-72.88771313
261,5 LAURA LA,41.27641813,-72.88738678
262,159 HUNTINGTON RD,41.27803007,-72.88993464
263,157 HUNTINGTON RD,41.27803007,-72.88993464
264,151 HUNTINGTON RD,41.27812098,-72.88993464
265,155 HUNTINGTON RD,41.27803007,-72.88993464
266,145 HUNTINGTON RD,41.27831096,-72.88993464
267,137 HUNTINGTON RD,41.27854057,-72.88993464
268,129 HUNTINGTON RD,41.27877018,-72.88993464
269,123 HUNTINGTON RD,41.27899047,-72.88993464
270,115 HUNTINGTON RD,41.27921075,-72.88993464
271,107 HUNTINGTON RD,41.27943104,-72.88993464
272,99 HUNTINGTON RD,41.27965016,-72.88993464
273,91 HUNTINGTON RD,41.27987161,-72.88993464
274,83 HUNTINGTON RD,41.28008141,-72.88994397
275,75 HUNTINGTON RD,41.28030169,-72.88994397
276,65 HUNTINGTON RD,41.28052081,-72.88995445
277,44 ELIZABETH ANN DR,41.28052781,-72.88902669
278,52 ELIZABETH ANN DR,41.28030752,-72.88900688
279,56 ELIZABETH ANN DR,41.28010821,-72.88898706
280,60 ELIZABETH ANN DR,41.27991823,-72.88897657
281,66 ELIZABETH ANN DR,41.27981566,-72.8888775
282,CHARTER OAK AV,41.27993317,-72.88547802
283,CHARTER OAK AV,41.27993317,-72.88547802
284,CHARTER OAK AV,41.27993317,-72.88547802
285,CHARTER OAK AV,41.27993317,-72.88547802
286,CHARTER OAK AV,41.27993317,-72.88547802
287,CHARTER OAK AV,41.27993317,-72.88547802
288,125 HUNTINGTON RD,41.27877018,-72.88993464
289,CHARTER OAK AV,41.27993317,-72.88547802
290,CHARTER OAK AV,41.27993317,-72.88547802
291,4 HUGHES ST EX,41.27985879,-72.88691824
292,8 HUGHES ST EX,41.30602269,-72.91788647
293,72 ELIZABETH ANN DR,41.27980284,-72.88878309
294,78 ELIZABETH ANN DR,41.27979352,-72.88856048
295,84 ELIZABETH ANN DR,41.27979352,-72.88832038
296,88 ELIZABETH ANN DR,41.27982382,-72.88811408
297,94 ELIZABETH ANN DR,41.27988793,-72.88803132
298,100 ELIZABETH ANN DR,41.28000681,-72.88796489
299,104 ELIZABETH ANN DR,41.28019097,-72.8879544
300,110 ELIZABETH ANN DR,41.28038095,-72.8879544
301,118 ELIZABETH ANN DR,41.28057093,-72.88796372
302,124 ELIZABETH ANN DR,41.2807714,-72.88796372
303,132 ELIZABETH ANN DR,41.28096138,-72.88796372
304,138 ELIZABETH ANN DR,41.28116069,-72.88797421
305,146 ELIZABETH ANN DR,41.28137165,-72.88797421
306,5 MASSACHUSETTS AV,41.28241259,-72.88732101
307,11 MASSACHUSETTS AV,41.28254967,-72.88720242
308,MASSACHUSETTS AV,41.28309531,-72.88677319
309,75 ELIZABETH ANN DR,41.2798483,-72.88872831
310,55 ELIZABETH ANN DR,41.28018397,-72.88892412
311,49 ELIZABETH ANN DR,41.28037395,-72.88894394
312,41 ELIZABETH ANN DR,41.28055345,-72.88895443
313,35 ELIZABETH ANN DR,41.28076091,-72.88896375
314,29 ELIZABETH ANN DR,41.2809404,-72.88896375
315,21 ELIZABETH ANN DR,41.28113039,-72.88896375
316,15 ELIZABETH ANN DR,41.28133086,-72.88896375
317,7 ELIZABETH ANN DR,41.28152084,-72.88896375
318,CLARENDON ST,41.28204579,-72.88939056
319,147 ELIZABETH ANN DR,41.28141011,-72.88804764
320,141 ELIZABETH ANN DR,41.2811502,-72.88804764
321,131 ELIZABETH ANN DR,41.28094973,-72.88803715
322,125 ELIZABETH ANN DR,41.28075975,-72.88803715
323,117 ELIZABETH ANN DR,41.28056977,-72.88803715
324,103 ELIZABETH ANN DR,41.28037978,-72.88802666
325,109 ELIZABETH ANN DR,41.27985064,-72.88824013
326,83 ELIZABETH ANN DR,41.2798483,-72.88833087
327,53 HUNTINGTON RD,41.28088213,-72.88996378
328,41 HUNTINGTON RD,41.2811129,-72.88997427
329,37 HUNTINGTON RD,41.28133202,-72.88998359
330,29 HUNTINGTON RD,41.28150219,-72.88999408
331,23 HUNTINGTON RD,41.28163273,-72.89000457
332,NA,NA,NA
333,87 CLARENDON ST,41.28220384,-72.88981109
334,95 CLARENDON ST,41.28207447,-72.88952321
335,105 CLARENDON ST,41.2819043,-72.88917355
336,8 ELIZABETH ANN DR,41.28151035,-72.88903718
337,18 ELIZABETH ANN DR,41.28126093,-72.88903718
338,28 ELIZABETH ANN DR,41.28106045,-72.88903718
339,32 ELIZABETH ANN DR,41.28087047,-72.88903718
340,821 TOWNSEND AV,41.27915248,-72.89532523
341,29 SOUND VIEW TER,41.27936344,-72.89461542
342,39 SOUND VIEW TER,41.27933313,-72.89444526
343,49 SOUND VIEW TER,41.27930283,-72.8942646
344,59 SOUND VIEW TER,41.27927369,-72.89408511
345,75 SOUND VIEW TER,41.27924339,-72.89390561
346,85 SOUND VIEW TER,41.27922357,-72.89373311
347,95 SOUND VIEW TER,41.27920376,-72.89354313
348,105 SOUND VIEW TER,41.27919327,-72.89336364
349,115 SOUND VIEW TER,41.27917346,-72.89317366
350,125 SOUND VIEW TER,41.27915364,-72.892993
351,135 SOUND VIEW TER,41.27913266,-72.89281351
352,145 SOUND VIEW TER,41.27911285,-72.89263285
353,4 HORSLEY AV,41.27853591,-72.89253611
354,2 HORSLEY AV,41.27834593,-72.89256642
355,HORSLEY AV,41.2791569,-72.89239283
356,TUTTLE DR,41.27783713,-72.89392611
357,174 TUTTLE DR,41.27766759,-72.89225755
358,168 TUTTLE DR,41.2776874,-72.89239741
359,160 TUTTLE DR,41.27770838,-72.89262702
360,150 TUTTLE DR,41.27773752,-72.89288694
361,144 TUTTLE DR,41.27777831,-72.89317716
362,136 TUTTLE DR,41.27780745,-72.89343707
363,128 TUTTLE DR,41.27784824,-72.89376692
364,120 TUTTLE DR,41.27787738,-72.89404781
365,112 TUTTLE DR,41.27790769,-72.89433686
366,104 TUTTLE DR,41.27794848,-72.89468769
367,785 TOWNSEND AV,41.27825268,-72.89551522
368,795 TOWNSEND AV,41.27844267,-72.89547559
369,801 TOWNSEND AV,41.27865363,-72.89543596
370,TOWNSEND AV,41.27187565,-72.89685772
371,809 TOWNSEND AV,41.27885293,-72.89538584
372,91 HORSLEY AV,41.27986462,-72.89224473
373,265 UPSON TER,41.2799532,-72.89158271
374,285 UPSON TER,41.27992289,-72.89136358
375,40 HOPKINS DR,41.27936693,-72.89124587
376,30 HOPKINS DR,41.27919677,-72.89127617
377,22 HOPKINS DR,41.27892636,-72.89132629
378,14 HOPKINS DR,41.27875736,-72.89135659
379,8 HOPKINS DR,41.27851726,-72.89139622
380,4 HOPKINS DR,41.27824686,-72.89144634
381,HORSLEY AV,41.2791569,-72.89239283
382,1 HORSLEY AV,41.27833427,-72.89249532
383,5 HORSLEY AV,41.27852425,-72.89246501
384,11 HORSLEY AV,41.27882496,-72.8924149
385,35 HORSLEY AV,41.27911518,-72.89236478
386,45 HORSLEY AV,41.27930516,-72.89233447
387,61 HORSLEY AV,41.27943453,-72.89231466
388,75 HORSLEY AV,41.27965482,-72.89227503
389,305 UPSON TER,41.27986345,-72.89076333
390,335 UPSON TER,41.27981333,-72.89028314
391,112 HUNTINGTON RD,41.27926087,-72.8900069
392,120 HUNTINGTON RD,41.27905107,-72.8900069
393,128 HUNTINGTON RD,41.2788203,-72.8900069
394,136 HUNTINGTON RD,41.27860001,-72.8900069
395,144 HUNTINGTON RD,41.27838089,-72.8900069
396,150 HUNTINGTON RD,41.27818042,-72.8900069
397,160 HUNTINGTON RD,41.27803007,-72.8900069
398,HOPKINS DR,41.2790483,-72.89126463
399,3 HOPKINS DR,41.2782049,-72.89137524
400,5 HOPKINS DR,41.27852425,-72.89132512
401,15 HOPKINS DR,41.27871424,-72.89128549
402,19 HOPKINS DR,41.27890422,-72.89125519
403,25 HOPKINS DR,41.27921425,-72.89119458
404,39 HOPKINS DR,41.27947416,-72.89115495
405,873 TOWNSEND AV,41.28025157,-72.89504667
406,131 UPSON TER,41.28023293,-72.89407578
407,20 LEROY TER,41.27993688,-72.89380654
408,16 LEROY TER,41.27972708,-72.89384617
409,60 SOUND VIEW TER,41.27934829,-72.89418651
410,44 SOUND VIEW TER,41.27938791,-72.89443593
411,30 SOUND VIEW TER,41.27942754,-72.89464573
412,835 TOWNSEND AV,41.27964083,-72.89520635
413,845 TOWNSEND AV,41.27987161,-72.89514574
414,853 TOWNSEND AV,41.28003129,-72.89509562
415,LEROY TER,41.27973913,-72.89380212
416,155 UPSON TER,41.28015367,-72.89355362
417,165 UPSON TER,41.28013269,-72.89336364
418,175 UPSON TER,41.28011288,-72.89319347
419,185 UPSON TER,41.28009306,-72.89300349
420,195 UPSON TER,41.28007325,-72.89283332
421,205 UPSON TER,41.28005343,-72.89264334
422,215 UPSON TER,41.28003362,-72.89245336
423,140 SOUND VIEW TER,41.27916763,-72.89262819
424,70 HORSLEY AV,41.27962685,-72.89235662
425,136 SOUND VIEW TER,41.27918744,-72.89281817
426,126 SOUND VIEW TER,41.27920842,-72.89298834
427,114 SOUND VIEW TER,41.27922824,-72.89316783
428,104 SOUND VIEW TER,41.27924805,-72.89335781
429,92 SOUND VIEW TER,41.27925737,-72.89353731
430,80 SOUND VIEW TER,41.27927835,-72.89371796
431,15 LEROY TER,41.27978419,-72.89376458
432,773 TOWNSEND AV,41.27788321,-72.89559564
433,105 TUTTLE DR,41.27790302,-72.89471333
434,115 TUTTLE DR,41.2778634,-72.89442428
435,123 TUTTLE DR,41.27782377,-72.89409326
436,129 TUTTLE DR,41.27779346,-72.89379372
437,139 TUTTLE DR,41.27775267,-72.89349418
438,147 TUTTLE DR,41.27772353,-72.89321329
439,155 TUTTLE DR,41.27769323,-72.89292423
440,167 TUTTLE DR,41.27763379,-72.89241373
441,171 TUTTLE DR,41.27761281,-72.89226338
442,110 TOWNSEND TER,41.27417798,-72.89242772
443,102 TOWNSEND TER,41.27419779,-72.89265733
444,96 TOWNSEND TER,41.2742281,-72.89289743
445,88 TOWNSEND TER,41.27424791,-72.8931282
446,84 TOWNSEND TER,41.27427821,-72.89334732
447,80 TOWNSEND TER,41.27429803,-72.89357693
448,72 TOWNSEND TER,41.27432833,-72.89381703
449,66 TOWNSEND TER,41.27435747,-72.89405713
450,60 TOWNSEND TER,41.27438777,-72.89428674
451,52 TOWNSEND TER,41.27441808,-72.89450703
452,46 TOWNSEND TER,41.27444838,-72.89475762
453,38 TOWNSEND TER,41.27447752,-72.89499772
454,30 TOWNSEND TER,41.27450782,-72.89526579
455,22 TOWNSEND TER,41.2746372,-72.89556883
456,663 TOWNSEND AV,41.27463745,-72.89632383
457,701 TOWNSEND AV,41.27533302,-72.89617491
458,TOWNSEND AV,41.27187565,-72.89685772
459,709 TOWNSEND AV,41.27619202,-72.8959756
460,725 TOWNSEND AV,41.27667151,-72.8958639
461,745 TOWNSEND AV,41.27728296,-72.89572501
462,757 TOWNSEND AV,41.27743331,-72.89569587
463,765 TOWNSEND AV,41.27768274,-72.89564576
464,601 TOWNSEND AV,41.27321292,-72.89665511
465,23 HALL ST,41.2732339,-72.89571685
466,27 HALL ST,41.27318378,-72.89550706
467,33 HALL ST,41.27313366,-72.89527628
468,41 HALL ST,41.27308354,-72.89505716
469,47 HALL ST,41.27303342,-72.89485669
470,55 HALL ST,41.27298331,-72.89464689
471,61 HALL ST,41.27294368,-72.8944371
472,65 HALL ST,41.27289356,-72.8942273
473,71 HALL ST,41.27284344,-72.89400701
474,77 HALL ST,41.27279332,-72.89379722
475,83 HALL ST,41.27274321,-72.89359675
476,89 HALL ST,41.27269309,-72.89337646
477,95 HALL ST,41.27264297,-72.89316667
478,103 HALL ST,41.27260334,-72.89296736
479,105 HALL ST,41.27255322,-72.89276689
480,424 FORT HALE RD,41.27173735,-72.89321445
481,408 FORT HALE RD,41.27179796,-72.89347437
482,400 FORT HALE RD,41.27183759,-72.89364453
483,386 FORT HALE RD,41.2718877,-72.89381354
484,368 FORT HALE RD,41.27196813,-72.89414455
485,FORT HALE RD,41.27246369,-72.89657966
486,350 FORT HALE RD,41.27201708,-72.89435434
487,340 FORT HALE RD,41.27205787,-72.89455482
488,330 FORT HALE RD,41.27210799,-72.89476461
489,320 FORT HALE RD,41.27214762,-72.89497441
490,306 FORT HALE RD,41.27219774,-72.89519469
491,294 FORT HALE RD,41.27223736,-72.89540449
492,280 FORT HALE RD,41.27228748,-72.89562478
493,270 FORT HALE RD,41.2723376,-72.89584506
494,260 FORT HALE RD,41.27238772,-72.89607467
495,581 TOWNSEND AV,41.27270241,-72.89677516
496,591 TOWNSEND AV,41.27296233,-72.89671572
497,106 HALL ST,41.27261733,-72.89278437
498,100 HALL ST,41.27267794,-72.89304428
499,94 HALL ST,41.27272805,-72.89328438
500,88 HALL ST,41.27277817,-72.89348486
501,82 HALL ST,41.27282712,-72.89369465
502,76 HALL ST,41.27286792,-72.89389396
503,72 HALL ST,41.27291804,-72.89409443
504,66 HALL ST,41.27296815,-72.8942949
505,60 HALL ST,41.27300778,-72.89447439
506,54 HALL ST,41.2730579,-72.89469468
507,46 HALL ST,41.27310802,-72.89492429
508,40 HALL ST,41.27315814,-72.89513409
509,34 HALL ST,41.27320709,-72.89534388
510,28 HALL ST,41.27325721,-72.89556417
511,22 HALL ST,41.27333763,-72.89591383
512,HALL ST,41.27266518,-72.89309928
513,8 HALL ST,41.27340756,-72.89625416
514,621 TOWNSEND AV,41.273812,-72.89651524
515,635 TOWNSEND AV,41.27423276,-72.89641501
516,641 TOWNSEND AV,41.27432105,-72.89639387
517,49 TOWNSEND TER,41.27438311,-72.8946737
518,645 TOWNSEND AV,41.27435281,-72.89638587
519,655 TOWNSEND AV,41.27455328,-72.89634508
520,25 TOWNSEND TER,41.27452414,-72.89545228
521,33 TOWNSEND TER,41.27445304,-72.89528561
522,37 TOWNSEND TER,41.27442274,-72.89503385
523,43 TOWNSEND TER,41.2743936,-72.89478443
524,TOWNSEND TER,41.27422233,-72.89311349
525,51 TOWNSEND TER,41.2743633,-72.89452451
526,59 TOWNSEND TER,41.27433299,-72.89431355
527,65 TOWNSEND TER,41.27430269,-72.89407345
